,id,Popular_Sum,Date
0,828304178644656129,1971,2017-02-05
1,828305244891336706,635,2017-02-05
2,828307625632813056,2760,2017-02-05
3,828309896122789889,417,2017-02-05
4,828312511946567680,734,2017-02-05
5,828312660299091968,629,2017-02-05
6,828314321679704066,457,2017-02-05
7,828314791819218944,599,2017-02-05
8,828315290782093312,757,2017-02-05
9,828317118051520514,459,2017-02-05
10,828320620463140865,7419,2017-02-05
11,828840823093497856,1474,2017-02-07
12,828981873086865410,28529,2017-02-07
13,828983364543664128,158,2017-02-07
14,828984746029912064,659,2017-02-07
15,828998837578526723,414,2017-02-07
16,828999653886550018,429,2017-02-07
17,829002643947167744,312,2017-02-07
18,829015254524792832,439,2017-02-07
19,829027848434257924,1351,2017-02-07
20,829046669517860869,227,2017-02-07
21,829396254920568832,4942,2017-02-08
22,829431667072733185,2005,2017-02-08
23,829441987686182912,901,2017-02-08
24,829442592978792448,358,2017-02-08
25,829447188325412866,289,2017-02-08
26,829509777218613248,251,2017-02-09
27,829834118733062144,1550,2017-02-09
28,829861775357071361,454,2017-02-10
29,829885356531032064,362,2017-02-10
30,830148763578662916,12063,2017-02-10
31,830239445433544704,865,2017-02-11
32,831692803210096641,329,2017-02-15
33,831969536584806400,46541,2017-02-15
34,831972613912080384,67143,2017-02-15
35,831972894355828736,514,2017-02-15
36,832082377920778240,996,2017-02-16
37,832084402473627650,30594,2017-02-16
38,832084918645596166,3542,2017-02-16
39,832085554619572225,421,2017-02-16
40,832085891715723264,459,2017-02-16
41,832086234302341120,1686,2017-02-16
42,832086901704126464,6789,2017-02-16
43,832089102266687488,625,2017-02-16
44,832375525754626048,13715,2017-02-16
45,832480331496185857,3243,2017-02-17
46,832619549937668096,256,2017-02-17
47,832647116816150530,9059,2017-02-17
48,832788691588296705,7748,2017-02-18
49,832863988836814848,6766,2017-02-18
50,832868838479851521,3004,2017-02-18
51,832869029580664833,971,2017-02-18
52,832871068066942976,8212,2017-02-18
53,832954058730115074,3089,2017-02-18
54,832970849791537152,10254,2017-02-18
55,832973218348625920,6190,2017-02-18
56,832979955092819968,408,2017-02-18
57,832984361989386240,9358,2017-02-18
58,832986598627106818,502,2017-02-18
59,832992529872097280,599,2017-02-18
60,832995083519614976,1258,2017-02-18
61,833329764232372224,3437,2017-02-19
62,833329896168370179,406,2017-02-19
63,833330869293035520,5355,2017-02-19
64,833332058453790720,20250,2017-02-19
65,833332384913252352,131835,2017-02-19
66,833411017065394176,23998,2017-02-19
67,834740218531962881,4829,2017-02-23
68,835178020604301313,304,2017-02-24
69,835185478512992256,270,2017-02-24
70,835187686151315456,276,2017-02-24
71,835187859158020097,347,2017-02-24
72,835202594968477696,530,2017-02-24
73,835350234049863680,39302,2017-02-25
